value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,emotion
572,572,572,573,572,572,573,572,572,572,521,572,520,625,572,624,572,573,572.0,,,,,,悲伤
521,572,520,625,572,624,572,573,572,676,573,520,572,520,624,520,520,520,573.0,,,,,,悲伤
572,573,572,676,573,520,572,520,624,520,520,520,573,676,572,573,520,572,572.0,,,,,,悲伤
520,624,520,520,520,573,676,572,573,520,572,572,625,572,572,573,572,520,624.0,,,,,,悲伤
572,573,520,572,572,625,572,572,573,572,520,624,573,520,572,573,624,520,572.0,521.0,,,,,悲伤
572,572,573,572,520,624,573,520,572,573,624,520,572,521,520,520,572,523,572.0,520.0,,,,,悲伤
572,573,572,572,625,572,546,624,521,572,572,573,572,572,572,574,520,520,572.0,,,,,,悲伤
546,624,521,572,572,573,572,572,572,574,520,520,572,573,520,500,625,520,520.0,520.0,,,,,悲伤
573,572,520,573,624,572,520,573,520,624,521,572,572,520,573,624,572,520,573.0,520.0,,,,,悲伤
572,572,572,574,520,520,572,573,520,500,625,520,520,520,573,520,572,572,521.0,520.0,,,,,悲伤
573,520,500,625,520,520,520,573,520,572,572,521,520,572,572,573,520,520,573.0,520.0,,,,,悲伤
573,520,572,572,521,520,572,572,573,520,520,573,520,572,572,573,520,572,625.0,572.0,,,,,悲伤
572,573,520,520,573,520,572,572,573,520,572,625,572,520,572,521,572,572,520.0,521.0,,,,,悲伤
572,573,520,572,625,572,520,572,521,572,572,520,521,572,520,625,520,572,572.0,625.0,,,,,悲伤
520,572,521,572,572,520,521,572,520,625,520,572,572,625,520,624,625,572,572.0,520.0,,,,,悲伤
572,520,625,520,572,572,625,520,624,625,572,572,520,625,572,520,572,521,572.0,,,,,,悲伤
520,624,625,572,572,520,625,572,520,572,521,572,624,573,572,572,572,625,572.0,,,,,,悲伤
625,572,520,572,521,572,624,573,572,572,572,625,572,572,573,520,520,624,521.0,,,,,,悲伤
573,572,572,572,625,572,572,573,520,520,624,521,572,520,572,523,624,624,573.0,,,,,,悲伤
520,573,520,624,521,572,572,520,573,624,572,520,573,520,571,523,520,572,520.0,573.0,,,,,悲伤
572,573,520,520,624,521,572,520,572,523,624,624,573,624,572,625,624,572,520.0,,,,,,悲伤
520,572,523,624,624,573,624,572,625,624,572,520,574,520,624,520,521,520,572.0,521.0,,,,,悲伤
624,572,625,624,572,520,574,520,624,520,521,520,572,521,624,572,520,573,572.0,,,,,,悲伤
574,520,624,520,521,520,572,521,624,572,520,573,572,624,573,520,572,572,521.0,624.0,,,,,悲伤
521,624,572,520,573,572,624,573,520,572,572,521,624,520,572,521,572,520,573.0,572.0,,,,,悲伤
573,520,572,572,521,624,520,572,521,572,520,573,572,520,520,573,520,572,520.0,573.0,,,,,悲伤
572,521,572,520,573,572,520,520,573,520,572,520,573,520,572,573,520,520,520.0,521.0,,,,,悲伤
520,573,520,572,520,573,520,572,573,520,520,520,521,520,572,572,521,572,520.0,572.0,,,,,悲伤
572,573,520,520,520,521,520,572,572,521,572,520,572,625,520,520,599,520,572.0,520.0,,,,,悲伤
572,572,521,572,520,572,625,520,520,599,520,572,520,573,624,624,573,520,572.0,572.0,,,,,悲伤
520,573,624,572,520,573,520,571,523,520,572,520,573,520,623,520,521,572,519.0,573.0,,,,,悲伤
520,520,599,520,572,520,573,624,624,573,520,572,572,625,572,572,573,572,520.0,,,,,,悲伤
624,624,573,520,572,572,625,572,572,573,572,520,624,573,572,572,572,573,572.0,,,,,,悲伤
625,572,572,573,572,520,624,573,572,572,572,573,572,572,521,572,520,572,521.0,553.0,,,,,悲伤
624,573,572,572,572,573,572,572,521,572,520,572,521,553,520,625,520,572,520.0,523.0,,,,,悲伤
520,625,520,572,520,523,572,572,520,521,572,520,520,573,520,572,521,572,572.0,572.0,,,,,悲伤
572,520,521,572,520,520,573,520,572,521,572,572,572,573,520,520,520,521,572.0,520.0,,,,,悲伤
520,572,521,572,572,572,573,520,520,520,521,572,520,520,469,520,572,573,572.0,572.0,,,,,悲伤
520,572,573,572,572,572,573,572,572,572,573,572,520,573,572,520,572,521,520.0,624.0,,,,,悲伤
572,572,572,573,572,520,573,572,520,572,521,520,624,573,572,572,520,626,572.0,520.0,,,,,悲伤
572,520,572,521,520,624,573,572,572,520,626,572,520,572,573,520,624,573,572.0,520.0,,,,,悲伤
571,523,520,572,520,573,520,623,520,521,572,519,573,572,519,520,573,572,624.0,572.0,,,,,悲伤
572,572,520,626,572,520,572,573,520,624,573,572,520,572,521,624,520,573,520.0,572.0,,,,,悲伤
573,520,624,573,572,520,572,521,624,520,573,520,572,572,625,520,572,572,573.0,,,,,,悲伤
624,520,573,520,572,572,625,520,572,572,573,676,520,573,520,572,624,521,572.0,,,,,,悲伤
520,573,520,572,624,521,572,572,573,520,624,572,521,520,520,520,625,520,572.0,521.0,,,,,悲伤
572,573,520,624,572,521,520,520,520,625,520,572,521,572,624,520,575,572,572.0,573.0,,,,,悲伤
520,520,625,520,572,521,572,624,520,575,572,572,573,572,572,572,600,520,572.0,520.0,,,,,悲伤
624,520,575,572,572,573,572,572,572,600,520,572,520,573,520,624,521,572,572.0,572.0,,,,,悲伤
572,572,572,600,520,572,520,573,520,624,521,572,572,572,573,572,520,572,573.0,520.0,,,,,悲伤
520,573,520,624,521,572,572,572,573,572,520,572,573,520,572,573,520,572,520.0,573.0,,,,,悲伤
572,573,572,520,572,573,520,572,573,520,572,520,573,624,520,573,520,572,624.0,573.0,,,,,悲伤
623,520,521,572,519,573,572,519,520,573,572,624,572,521,572,520,573,520,468.0,520.0,,,,,悲伤
572,573,520,572,520,573,624,520,573,520,572,624,573,520,572,520,625,520,572.0,573.0,,,,,悲伤
520,573,520,572,624,573,520,572,520,625,520,572,573,520,572,624,625,572,572.0,573.0,,,,,悲伤
572,520,625,520,572,573,520,572,624,625,572,572,573,624,572,520,573,520,520.0,572.0,,,,,悲伤
572,624,625,572,572,573,624,572,520,573,520,520,572,573,520,572,605,520,572.0,,,,,,悲伤
624,572,520,573,520,520,572,573,520,572,605,520,572,572,521,624,520,573,520.0,572.0,,,,,悲伤
573,520,572,605,520,572,572,521,624,520,573,520,572,520,625,572,520,572,521.0,624.0,,,,,悲伤
521,624,520,573,520,572,520,625,572,520,572,521,624,520,521,520,520,520,573.0,520.0,,,,,悲伤
572,573,572,520,575,624,572,572,573,520,624,573,572,520,572,521,624,572,520.0,573.0,,,,,悲伤
572,572,573,520,624,573,572,520,572,521,624,572,520,573,624,624,573,520,572.0,,,,,,悲伤
572,520,572,521,624,572,520,573,624,624,573,520,572,572,573,624,572,521,572.0,,,,,,悲伤
519,520,573,572,624,572,521,572,520,573,520,468,520,573,520,572,520,573,572.0,520.0,,,,,悲伤
573,624,624,573,520,572,572,573,624,572,521,572,572,624,573,572,520,573,624.0,,,,,,悲伤
572,573,624,572,521,572,572,624,573,572,520,573,624,572,572,521,572,572,625.0,,,,,,悲伤
572,624,573,572,520,573,624,572,572,521,572,572,625,520,572,572,573,572,572.0,,,,,,悲伤
624,572,572,521,572,572,625,520,572,572,573,572,572,573,572,572,520,625,572.0,,,,,,悲伤
572,520,573,520,572,573,572,572,520,573,624,572,520,573,520,572,573,520,520.0,520.0,,,,,悲伤
572,520,573,624,572,520,573,520,572,573,520,520,520,522,572,572,572,573,520.0,572.0,,,,,悲伤
520,572,573,520,520,520,522,572,572,572,573,520,572,521,624,520,572,521,520.0,572.0,,,,,悲伤
572,572,572,573,520,572,521,624,520,572,521,520,572,624,521,520,520,524,520.0,624.0,,,,,悲伤
520,572,520,573,572,572,573,520,624,624,677,572,624,573,572,572,624,625,624.0,,,,,,悲伤
624,573,624,572,625,624,624,520,573,572,624,521,572,572,520,573,624,572,625.0,,,,,,悲伤
572,520,573,520,468,520,573,520,572,520,573,572,520,520,521,624,520,521,520.0,520.0,572.0,,,,悲伤
624,520,573,572,624,521,572,572,520,573,624,572,625,572,624,624,627,624,597.0,,,,,,悲伤
572,572,520,573,624,572,625,572,624,624,627,624,597,625,572,624,573,624,572.0,,,,,,悲伤
625,572,572,572,573,676,572,625,572,572,624,573,624,624,625,676,572,625,,,,,,,悲伤
572,625,572,572,624,573,624,624,625,676,572,625,572,572,624,625,520,572,573.0,,,,,,悲伤
624,624,625,676,572,625,572,572,624,625,520,572,573,520,624,572,625,572,624.0,,,,,,悲伤
572,572,624,625,520,572,573,520,624,572,625,572,624,677,572,520,572,573,520.0,,,,,,悲伤
573,520,624,572,625,572,624,677,572,520,572,573,520,624,521,572,520,520,573.0,,,,,,悲伤
624,677,572,520,572,573,520,624,521,572,520,520,573,624,572,573,572,676,520.0,,,,,,悲伤
520,573,572,520,520,573,572,520,573,520,572,624,573,520,572,521,618,513,516.0,518.0,,,,,悲伤
520,573,520,572,624,573,520,572,521,618,513,516,518,572,520,572,521,520,572.0,520.0,,,,,悲伤
520,521,520,520,572,522,520,520,468,573,520,572,520,521,572,520,520,573,520.0,520.0,521.0,,,,悲伤
520,469,520,468,468,469,520,520,520,522,520,520,520,521,468,572,520,469,520.0,468.0,520.0,469.0,,,愉悦
520,520,522,520,520,520,521,468,572,520,469,520,468,520,469,572,468,468,469.0,468.0,520.0,520.0,,,愉悦
468,572,520,469,520,468,520,469,572,468,468,469,468,520,520,573,468,520,520.0,521.0,520.0,520.0,,,愉悦
469,572,468,468,469,468,520,520,573,468,520,520,521,520,520,520,470,468,468.0,520.0,417.0,520.0,,,愉悦
520,573,468,520,520,521,520,520,520,470,468,468,520,417,520,468,468,468,521.0,468.0,572.0,520.0,,,愉悦
520,520,470,468,468,520,417,520,468,468,468,521,468,572,520,521,468,572,521.0,520.0,520.0,520.0,,,愉悦
520,468,468,416,470,468,468,520,521,520,520,468,521,572,520,520,521,468,520.0,468.0,575.0,520.0,,,愉悦
521,520,520,468,521,572,520,520,521,468,520,468,575,520,468,520,469,468,468.0,520.0,469.0,416.0,,,愉悦
520,521,468,520,468,575,520,468,520,469,468,468,520,469,416,468,468,470,468.0,520.0,416.0,416.0,469.0,,愉悦
468,520,469,468,468,520,469,416,468,468,470,468,520,416,416,469,468,416,416.0,416.0,521.0,468.0,391.0,520.0,愉悦
521,520,520,520,573,572,520,572,521,572,520,573,520,572,572,521,520,572,572.0,521.0,,,,,愉悦
468,468,470,468,520,416,416,469,468,416,416,416,521,468,391,520,417,468,468.0,468.0,417.0,468.0,572.0,520.0,愉悦
468,416,416,416,521,468,391,520,417,468,468,468,417,468,572,520,521,520,520.0,468.0,469.0,572.0,468.0,,愉悦
417,468,468,468,417,468,572,520,521,520,520,468,469,572,468,468,469,520,468.0,572.0,521.0,468.0,520.0,,愉悦
521,520,520,468,469,572,468,468,469,520,468,572,521,468,520,520,521,468,520.0,520.0,469.0,520.0,,,愉悦
468,469,520,468,572,521,468,520,520,521,468,520,520,469,520,468,468,573,468.0,520.0,468.0,468.0,,,愉悦
520,520,521,468,520,520,469,520,468,468,573,468,520,468,468,521,468,572,468.0,521.0,468.0,520.0,,,愉悦
520,468,468,573,468,520,468,468,521,468,572,468,521,468,520,468,521,520,468.0,520.0,469.0,520.0,,,愉悦
468,521,468,572,468,521,468,520,468,521,520,468,520,469,520,468,572,469,468.0,520.0,468.0,469.0,,,愉悦
469,468,520,468,469,520,468,468,521,520,520,468,469,520,416,520,468,469,468.0,468.0,416.0,471.0,468.0,,愉悦
520,468,469,468,468,416,471,468,520,468,469,468,468,468,468,573,520,468,521.0,468.0,520.0,468.0,573.0,,愉悦
572,521,572,520,573,520,572,572,521,520,572,572,521,572,520,521,624,520,520.0,573.0,,,,,愉悦
520,520,468,469,468,416,468,469,468,416,416,468,417,416,520,416,469,416,468.0,416.0,468.0,469.0,468.0,468.0,愉悦
416,468,417,416,520,416,469,416,468,416,468,469,468,468,468,469,416,468,468.0,524.0,469.0,468.0,416.0,468.0,愉悦
468,416,468,469,468,468,468,469,416,468,468,524,469,468,416,468,469,468,520.0,468.0,417.0,468.0,416.0,468.0,愉悦
416,468,468,524,469,468,416,468,469,468,520,468,417,468,416,468,468,521,416.0,468.0,468.0,521.0,468.0,520.0,愉悦
469,468,520,468,417,468,416,468,468,521,416,468,468,521,468,520,520,469,520.0,468.0,468.0,493.0,468.0,,愉悦
468,521,416,468,468,521,468,520,520,469,520,468,468,493,468,520,468,468,521.0,468.0,468.0,468.0,417.0,,愉悦
520,469,520,468,468,493,468,520,468,468,521,468,468,468,417,468,468,520,469.0,468.0,468.0,468.0,469.0,,愉悦
520,468,468,521,468,468,468,417,468,468,520,469,468,468,468,469,468,520,468.0,520.0,469.0,468.0,416.0,,愉悦
468,468,520,469,468,468,468,469,468,520,468,520,469,468,416,468,521,416,468.0,468.0,469.0,468.0,468.0,,愉悦
468,520,468,520,469,468,416,468,521,416,468,468,469,468,468,520,468,469,468.0,468.0,468.0,469.0,520.0,,愉悦
572,521,520,572,572,521,572,520,521,624,520,520,573,572,572,624,573,572,520.0,573.0,,,,,愉悦
521,416,468,468,469,468,468,520,468,469,468,468,468,469,520,468,468,471,468.0,468.0,468.0,521.0,520.0,,愉悦
468,468,469,520,468,468,471,468,468,468,521,520,520,468,521,520,520,572,469.0,520.0,520.0,520.0,,,愉悦
468,468,521,520,520,468,521,520,520,572,469,520,520,520,469,572,468,468,521.0,468.0,520.0,468.0,,,愉悦
520,520,572,469,520,520,520,469,572,468,468,521,468,520,468,521,468,468,520.0,468.0,521.0,520.0,,,愉悦
469,572,468,468,521,468,520,468,521,468,468,520,468,521,520,520,521,520,520.0,520.0,521.0,572.0,,,愉悦
468,521,468,468,520,468,521,520,520,521,520,520,520,521,572,468,520,469,520.0,468.0,520.0,573.0,,,愉悦
520,520,469,468,520,468,469,468,468,468,469,520,520,468,523,468,572,572,443.0,520.0,572.0,520.0,,,愉悦
468,468,468,469,520,520,468,523,468,572,572,443,520,572,520,521,520,520,572.0,521.0,572.0,520.0,,,愉悦
520,520,469,468,520,468,521,520,520,520,521,468,520,572,521,468,520,520,521.0,572.0,520.0,468.0,,,愉悦
572,572,572,515,571,519,521,520,520,468,573,468,520,467,468,468,468,520,468.0,469.0,468.0,416.0,,,愉悦
520,521,624,520,520,573,572,572,624,573,572,520,573,520,624,520,573,520,520.0,572.0,,,,,愉悦
468,520,467,468,468,468,520,468,469,468,416,468,469,520,468,520,469,468,468.0,468.0,520.0,469.0,472.0,,愉悦
468,469,520,468,520,469,572,468,520,521,468,520,572,469,520,520,468,469,520.0,572.0,520.0,523.0,,,愉悦
468,520,521,468,520,572,469,520,520,468,469,520,572,520,523,468,468,520,469.0,520.0,520.0,520.0,,,愉悦
520,520,468,469,520,572,520,523,468,468,520,469,520,520,520,417,520,468,520.0,469.0,468.0,468.0,,,愉悦
523,468,468,520,469,520,520,520,417,520,468,520,469,468,468,468,520,469,572.0,468.0,520.0,469.0,520.0,,愉悦
520,417,520,468,520,469,468,468,468,520,469,572,468,520,469,520,468,520,521.0,468.0,520.0,468.0,469.0,,愉悦
468,520,469,572,468,520,469,520,468,520,521,468,520,468,469,520,468,572,521.0,520.0,520.0,468.0,,,愉悦
520,468,520,521,468,520,468,469,520,468,572,521,520,520,468,469,520,416,468.0,417.0,416.0,468.0,468.0,,愉悦
469,520,468,572,521,520,520,468,469,520,416,468,417,416,468,468,520,469,468.0,520.0,468.0,417.0,520.0,,愉悦
468,469,520,416,468,417,416,468,468,520,469,468,520,468,417,520,572,520,496.0,572.0,520.0,520.0,521.0,,愉悦
572,624,573,572,520,573,520,624,520,573,520,520,572,573,572,520,521,572,520.0,572.0,,,,,愉悦
468,520,469,468,520,468,417,520,572,520,496,572,520,520,521,572,520,468,573.0,520.0,520.0,573.0,,,愉悦
573,572,520,575,572,520,572,573,572,520,624,625,572,572,573,624,624,625,572.0,,,,,,愉悦
573,572,520,624,625,572,572,573,624,624,625,572,572,572,677,520,572,521,572.0,,,,,,愉悦
625,520,572,520,573,520,572,520,521,572,572,521,624,572,572,573,572,624,573.0,572.0,,,,,愉悦
520,521,572,572,521,624,572,572,573,572,624,573,572,520,572,573,572,520,572.0,521.0,,,,,愉悦
572,573,572,624,573,572,520,572,573,572,520,572,521,572,572,573,572,520,572.0,521.0,,,,,愉悦
520,521,572,520,573,520,520,572,493,520,468,572,521,520,624,572,625,676,624.0,575.0,,,,,愉悦
572,493,520,468,572,521,520,624,572,625,676,624,575,572,520,625,572,572,520.0,573.0,,,,,愉悦
624,572,625,676,624,575,572,520,625,572,572,520,573,520,572,572,521,520,520.0,,,,,,愉悦
572,520,625,572,572,520,573,520,572,572,521,520,520,520,625,468,520,468,525.0,468.0,520.0,,,,愉悦
520,573,520,520,572,573,572,520,521,572,520,572,573,520,520,520,521,572,520.0,573.0,,,,,愉悦
468,520,468,525,468,520,520,520,468,520,520,521,467,572,468,521,520,520,462.0,568.0,468.0,519.0,,,愉悦
520,468,520,520,521,467,572,468,521,520,520,462,568,468,519,520,468,520,519.0,520.0,468.0,468.0,,,愉悦
468,521,520,520,462,568,468,519,520,468,520,519,520,468,468,520,520,520,520.0,468.0,519.0,521.0,,,愉悦
519,520,468,520,519,520,468,468,520,520,520,520,468,519,521,520,520,521,520.0,468.0,520.0,468.0,,,愉悦
468,520,520,520,520,468,519,521,520,520,521,520,468,520,468,520,520,520,521.0,520.0,520.0,468.0,,,愉悦
521,520,468,468,469,468,520,468,520,469,520,520,468,520,520,468,468,469,468.0,468.0,520.0,523.0,520.0,,愉悦
468,520,469,520,520,468,520,520,468,468,469,468,468,520,523,520,572,520,521.0,572.0,624.0,625.0,,,愉悦
520,571,520,625,572,572,573,520,572,572,521,468,520,468,521,520,572,573,520.0,572.0,,,,,愉悦
520,572,572,521,468,520,468,521,520,572,573,520,572,520,521,624,520,468,521.0,520.0,520.0,,,,愉悦
521,468,468,468,573,468,468,520,542,467,520,520,469,572,520,520,521,468,520.0,572.0,521.0,468.0,,,愉悦
520,521,572,520,572,573,520,520,520,521,572,520,573,520,572,572,625,624,624.0,625.0,,,,,愉悦
520,542,467,520,520,469,572,520,520,521,468,520,572,521,468,520,468,521,468.0,520.0,520.0,495.0,,,愉悦
520,520,521,468,520,572,521,468,520,468,521,468,520,520,495,520,468,572,521.0,520.0,520.0,,,,愉悦
468,520,468,521,468,520,520,495,520,468,572,521,520,520,624,521,572,520,521.0,572.0,624.0,,,,愉悦
495,520,468,572,521,520,520,624,521,572,520,521,572,624,520,573,572,572,520.0,573.0,,,,,愉悦
624,521,572,520,521,572,624,520,573,572,572,520,573,520,520,521,520,520,520.0,575.0,,,,,愉悦
520,572,521,572,572,573,572,520,572,521,520,570,519,520,519,518,571,572,572.0,572.0,,,,,愉悦
520,572,521,520,570,519,520,519,518,571,572,572,572,521,520,520,571,521,520.0,572.0,520.0,,,,愉悦
468,520,523,520,468,520,469,572,520,520,521,624,520,573,572,520,572,546,520.0,520.0,572.0,,,,愉悦
572,520,520,521,624,520,573,572,520,572,546,520,520,572,521,520,468,520,521.0,572.0,,,,,愉悦
572,520,572,546,520,520,572,521,520,468,520,521,572,572,573,623,572,572,625.0,572.0,,,,,愉悦
520,520,521,572,520,573,520,572,572,625,624,624,625,572,520,624,573,520,520.0,572.0,,,,,愉悦
521,520,468,520,521,572,572,573,623,572,572,625,572,520,573,520,572,624,521.0,572.0,,,,,愉悦
573,623,572,572,625,572,520,573,520,572,624,521,572,468,572,521,520,468,520.0,469.0,,,,,愉悦
520,573,520,572,624,521,572,468,572,521,520,468,520,469,468,468,520,573,572.0,572.0,573.0,,,,愉悦
468,572,521,520,468,520,469,468,468,520,573,572,572,573,624,676,624,625,572.0,624.0,,,,,愉悦
468,468,520,573,572,572,573,624,676,624,625,572,624,521,624,520,572,573,520.0,520.0,,,,,愉悦
624,573,624,520,677,572,520,572,521,520,624,521,468,520,520,521,572,520,468.0,523.0,,,,,愉悦
520,624,521,468,520,520,521,572,520,468,523,520,520,520,573,572,520,520,573.0,468.0,572.0,,,,愉悦
468,520,521,468,520,468,521,520,572,572,521,572,520,573,572,520,520,469,520.0,520.0,468.0,,,,愉悦
521,468,520,468,469,416,468,416,468,521,520,468,572,521,520,624,573,468,520.0,520.0,521.0,572.0,,,愉悦
573,468,520,520,521,572,520,520,521,493,520,468,521,468,468,520,522,468,520.0,520.0,469.0,468.0,,,愉悦
572,572,625,624,624,625,572,520,624,573,520,520,572,521,572,572,575,520,520.0,,,,,,愉悦
520,468,468,521,468,520,468,521,520,468,520,521,468,520,468,522,468,468,572.0,521.0,520.0,468.0,,,愉悦
521,520,468,520,521,468,520,468,522,468,468,572,521,520,468,520,521,572,520.0,468.0,523.0,468.0,,,愉悦
468,522,468,468,572,521,520,468,520,521,572,520,468,523,468,468,468,521,520.0,468.0,468.0,468.0,,,愉悦
468,520,521,572,520,468,523,468,468,468,521,520,468,468,468,520,468,572,521.0,468.0,520.0,468.0,,,愉悦
468,468,468,521,520,468,468,468,520,468,572,521,468,520,468,522,572,520,520.0,469.0,520.0,468.0,,,愉悦
520,468,572,521,468,520,468,522,572,520,520,469,520,468,520,573,468,468,520.0,469.0,520.0,572.0,,,愉悦
572,572,573,468,520,572,573,520,520,520,521,520,572,468,521,468,520,468,521.0,468.0,520.0,,,,愉悦
416,416,468,468,417,416,416,468,417,468,468,468,416,469,468,468,520,417,468.0,520.0,468.0,416.0,469.0,468.0,愉悦
520,520,520,521,520,572,468,521,468,520,468,521,468,520,468,521,468,520,572.0,469.0,520.0,520.0,,,愉悦
468,521,468,520,520,469,572,520,520,521,520,468,573,520,520,520,521,468,572.0,520.0,521.0,,,,愉悦
520,520,521,520,468,573,520,520,520,521,468,572,520,521,572,520,520,521,572.0,572.0,520.0,,,,愉悦
520,520,520,545,520,520,520,573,572,520,572,521,520,572,573,520,520,572,521.0,572.0,520.0,,,,愉悦
573,572,520,572,521,520,572,573,520,520,572,521,572,520,520,521,520,520,520.0,573.0,,,,,愉悦
573,520,520,572,521,572,520,520,521,520,520,520,573,572,624,573,624,624,624.0,573.0,,,,,愉悦
520,521,520,520,520,573,572,624,573,624,624,624,573,572,572,575,624,624,520.0,,,,,,愉悦
624,573,624,624,624,573,572,572,575,624,624,520,573,572,572,573,572,520,572.0,,,,,,愉悦
572,572,575,624,624,520,573,572,572,573,572,520,572,573,572,572,573,572,572.0,,,,,,愉悦
573,572,572,573,572,520,572,573,572,572,573,572,572,572,521,624,572,520,521.0,520.0,,,,,愉悦
417,468,468,468,416,469,468,468,520,417,468,520,468,416,469,468,520,468,521.0,520.0,468.0,520.0,521.0,,愉悦
573,572,572,573,572,572,572,521,624,572,520,521,520,574,573,520,520,572,573.0,520.0,,,,,愉悦
572,521,624,572,520,521,520,574,573,520,520,572,573,520,624,520,573,520,520.0,573.0,,,,,愉悦
572,573,520,624,520,573,520,520,573,572,520,520,521,520,520,572,521,520,572.0,624.0,,,,,愉悦
520,573,572,520,520,521,520,520,572,521,520,572,624,521,624,572,573,572,624.0,520.0,,,,,愉悦
520,572,521,520,572,624,521,624,572,573,572,624,520,625,572,624,573,572,624.0,,,,,,愉悦
624,572,573,572,624,520,625,572,624,573,572,624,573,624,572,572,573,624,520.0,,,,,,愉悦
625,572,624,573,572,624,573,624,572,572,573,624,520,520,521,572,572,625,624.0,,,,,,愉悦
573,624,572,572,573,624,520,520,521,572,572,625,624,572,572,625,624,624,573.0,,,,,,愉悦
520,520,521,572,572,625,624,572,572,625,624,624,573,624,572,573,624,572,520.0,,,,,,愉悦
572,572,625,624,624,573,624,572,573,624,572,520,521,572,520,625,520,520,572.0,,,,,,愉悦
520,417,468,520,468,416,469,468,520,468,521,520,468,520,521,468,468,468,469.0,520.0,468.0,572.0,469.0,,愉悦
624,572,573,624,572,520,521,572,520,625,520,520,572,573,624,572,572,521,572.0,520.0,,,,,愉悦
521,572,520,625,520,520,572,573,624,572,572,521,572,520,575,624,520,520,573.0,572.0,,,,,愉悦
573,624,572,572,521,572,520,575,624,520,520,573,572,520,572,547,520,572,521.0,520.0,,,,,愉悦
520,575,624,520,520,573,572,520,572,547,520,572,521,520,520,520,573,624,520.0,520.0,,,,,愉悦
520,572,547,520,572,521,520,520,520,573,624,520,520,573,572,520,573,520,572.0,468.0,,,,,愉悦
521,572,520,625,520,572,572,573,520,624,520,521,572,520,521,572,520,520,521.0,468.0,,,,,愉悦
573,520,624,520,521,572,520,521,572,520,520,521,468,520,624,521,520,520,520.0,573.0,572.0,,,,愉悦
521,520,520,520,573,572,520,468,521,468,520,520,521,468,520,520,573,572,468.0,521.0,572.0,,,,愉悦
468,521,468,520,520,521,468,520,520,573,572,468,521,572,572,572,627,520,572.0,572.0,521.0,,,,愉悦
520,520,573,572,468,521,572,572,572,627,520,572,572,521,572,520,521,520,520.0,520.0,,,,,愉悦
468,520,521,468,468,468,469,520,468,572,469,468,468,468,469,520,468,520,469.0,468.0,520.0,468.0,573.0,,愉悦
572,572,627,520,572,572,521,572,520,521,520,520,520,521,572,468,520,521,520.0,468.0,572.0,,,,愉悦
521,572,520,521,520,520,520,521,572,468,520,521,520,468,572,521,520,520,468.0,521.0,520.0,,,,愉悦
572,520,468,529,468,520,520,521,520,520,520,521,468,520,520,521,520,468,468.0,521.0,468.0,572.0,,,愉悦
521,520,520,520,521,468,520,520,521,520,468,468,521,468,572,468,521,468,520.0,520.0,521.0,520.0,,,愉悦
520,521,520,468,468,521,468,572,468,521,468,520,520,521,520,520,520,469,520.0,520.0,572.0,521.0,,,愉悦
572,468,521,468,520,520,521,520,520,520,469,520,520,572,521,468,520,468,521.0,468.0,572.0,468.0,,,愉悦
520,520,520,469,520,520,572,521,468,520,468,521,468,572,468,469,468,520,468.0,521.0,572.0,520.0,,,愉悦
521,468,520,468,521,468,572,468,469,468,520,468,521,572,520,520,523,520,520.0,520.0,521.0,520.0,,,愉悦
468,469,468,520,468,521,572,520,520,523,520,520,520,521,520,468,520,469,468.0,572.0,468.0,521.0,,,愉悦
520,523,520,520,520,521,520,468,520,469,468,572,468,521,468,520,468,417,468.0,364.0,572.0,469.0,364.0,,愉悦
468,572,469,468,468,468,469,520,468,520,469,468,520,468,573,468,520,520,468.0,521.0,468.0,468.0,468.0,,愉悦
468,520,417,468,520,468,469,572,520,468,521,520,520,572,521,520,520,520,469.0,624.0,520.0,573.0,,,愉悦
520,468,521,520,520,572,521,520,520,520,469,624,520,573,520,572,520,625,520.0,572.0,520.0,,,,愉悦
520,520,520,469,624,520,573,520,572,520,625,520,572,520,469,520,624,521,572.0,572.0,,,,,愉悦
520,572,520,625,520,572,520,469,520,624,521,572,572,572,573,624,520,572,521.0,572.0,,,,,愉悦
469,520,624,521,572,572,572,573,624,520,572,521,572,520,573,520,468,520,521.0,572.0,,,,,愉悦
520,544,625,572,572,575,520,572,624,573,520,520,468,521,520,520,520,469,520.0,520.0,,,,,愉悦
520,572,624,573,520,520,468,521,520,520,520,469,520,520,572,573,520,520,520.0,573.0,572.0,,,,愉悦
521,520,520,520,469,520,520,572,573,520,520,520,573,572,520,573,520,520,520.0,573.0,520.0,,,,愉悦
572,573,520,520,520,573,572,520,573,520,520,520,573,520,468,520,469,520,572.0,520.0,521.0,,,,愉悦
520,573,520,520,520,573,520,468,520,469,520,572,520,521,520,520,572,573,572.0,520.0,573.0,,,,愉悦
468,520,469,468,520,468,573,468,520,520,468,521,468,468,468,469,468,468,572.0,417.0,520.0,520.0,468.0,,愉悦
468,520,469,520,572,520,521,520,520,572,573,572,520,573,520,520,520,573,468.0,520.0,468.0,,,,愉悦
520,520,572,573,572,520,573,520,520,520,573,468,520,468,521,520,520,520,521.0,520.0,520.0,,,,愉悦
520,520,520,573,468,520,468,521,520,520,520,521,520,520,468,573,468,520,520.0,469.0,520.0,520.0,,,愉悦
